ID;Name;Besucht;Breitengrad;Längengrad;Hauptheft;Baudensteig;Burgen + Schlösser;Goethe im Harz;Goslar Wandert;Harzer Grenzweg;Harzer Hexenstieg;Harzer Steiger;Karstwanderweg;Kloster Wanderweg;Lutherweg;Nationalpark Harz;Quedlinburg;Selketalstieg;Steinway-Trail;Dorfrunde Seesen;Deister Wandernadel;Huy Fallstein
1;Eckertalsperre -Staumauer ;;51.84165;10.57998;1;;;;;1;;;;;;1;;;;;;
2;Scharfenstein – Rangerstation ;;51.83017;10.60277;1;;;;;1;;;;;;1;;;;;;
3;Am Kruzifix ;;51.84437;10.61180;1;;;;;1;;;;;;1;;;;;;
4;Taubenklippe ;;51.86213;10.61860;1;;;;;1;;;;;;1;;;;;;
5;Froschfelsen ;;51.85192;10.65457;1;;;;;;;;;;;1;;;;;;
6;Bremer Hütte (Obere Ilsefälle) ;;51.82868;10.63485;1;;;;;;;;;;;1;;;;;;
7;Gasthaus Plessenburg ;;51.83215;10.66826;1;;;;;;;;;;;1;;;;;;
8;Stempelsbuche ;;51.81937;10.62792;1;;;;;;;;;;;1;;;;;;
9;Brockenhaus ;;51.80054;10.61578;1;;;1;;1;1;;;;;1;;;;;;
10;Große Zeterklippe ;;51.80264;10.64335;1;;;;;1;;;;;;1;;;;;;
11;Eckerloch ;;51.78499;10.61792;1;;;;;1;;;;;;1;;;;;;
12;Achtermannshöhe ;;51.76145;10.56913;1;;;;;;;;;;;1;;;;;;
13;Ahrensklint ;;51.77356;10.66719;1;;;1;;;1;;;;;1;;;;;;
14;Schnarcherklippe (Schutzhütte) ;;51.75445;10.66565;1;;;1;;;;;;;;;;;;;;
15;Leistenklippe ;;51.78152;10.69378;1;;;;;;;;;;;1;;;;;;
16;Ferdinandsstein ;;51.82350;10.65210;1;;;;;;;;;;;1;;;;;;
17;Trudenstein ;;51.77218;10.69656;1;;;;;;1;;;;;1;;;;;;
18;Grenzweg am Kaffeehorst ;;51.75183;10.63245;1;;;;;1;;;;;;;;;;;;
19;Skidenkmal (Nähe Eckerstausee) ;;51.82037;10.57298;1;;;;;1;;;;;;1;;;;;;
20;Barenberg (Aussichtspunkt) ;;51.75032;10.67505;1;;;;;;;;;;;;;;;;;
21;Helenenruh Elend ;;51.75407;10.68091;1;;;;;;;;;;;;;;;;;
22;Gelber Brink ;;51.79102;10.64481;1;;;;;1;1;;;;;1;;;;;;
23;Molkenhausstern ;;51.80771;10.65779;1;;;;;;;;;;;1;;;;;;
24;Wolfsklippe ;;51.81947;10.67052;1;;;;;;;;;;;1;;;;;;
25;Oberförster-Koch-Denkmal ;;51.82528;10.68840;1;;;;;;;;;;;;;;;;;
26;Mönchsbuche ;;51.81783;10.70789;1;;;;;;;;;;;;;;;;;
27;Ottofelsen ;;51.79669;10.71195;1;;;;;;;;;;;;;;;;;
28;Gasthaus Steinerne Renne ;;51.80494;10.69977;1;;;;;;;;;;;;;;;;;
29;Elversstein ;;51.80444;10.73472;1;;;;;;;;;;;;;;;;;
30;Ilsestein ;;51.84634;10.66313;1;;;;;;;;;;;1;;;;;;
31;Agnesberg ;;51.83003;10.79796;1;;;1;;;;;;;;;;;;;;
32;Gasthaus Christianental ;;51.82772;10.81290;1;;;;;;;;;;;;;;;;;
33;Stapenberg ;;51.82613;10.84825;1;;;;;;;;;;;;;;;;;
34;Scharfenstein ;;51.81002;10.79840;1;;;;;;;;;;;;;;;;;
35;Gasthaus Armeleuteberg ;;51.81545;10.77663;1;;;;;;;;;;;;;;;;;
36;Peterstein ;;51.79222;10.78028;1;;;;;;;;;;;;;;;;;
37;Büchenberg ;;51.79104;10.81842;1;;;;;;;1;;;;;;;;;;
38;Galgenberg ;;51.77380;10.81677;1;;;1;;;;;;;;;;;;;;
39;Tagebau Felswerke ;;51.75997;10.80184;1;;;;;;;1;;;;;;;;;;
40;Königshütter Wasserfall ;;51.75110;10.75307;1;;;;;;1;;;;;;;;;;;
41;Ruine Königsburg ;;51.73841;10.76719;1;;;1;;;1;;;;;;;;;;;
42;Trogfurther Brücke ;;51.73558;10.80505;1;;;1;;;1;;;;;;;;;;;
43;Wasserscheide Weser-Elbe „Hohe Tür“ ;;51.61864;10.50431;1;;;;;;;;;;;;;;;;;
44;Kapitelsberg ;;51.70559;10.74089;1;;;;;;;;;;;;;;;;;
45;Dicke Tannen ;;51.65725;10.64807;1;;;;;;;;;;;;;;;;;
46;Grenzmuseum am Ring der Erinnerung ;;51.69360;10.66670;1;;;;;1;;;;;;;;;;;;
47;Oberharzblick am Buchenberg ;;51.65288;10.74871;1;;;;;;;;;;;;;;;;;
48;Stierbergsteich ;;51.64111;10.75639;1;;;;;;;;;;;;;;;;;
49;Grüntal ;;51.67660;10.75533;1;;;;;;;;;;;;;;;;;
50;Walzenhütte ;;51.66103;10.76721;1;;;;;;;;;;;;;;;;;
51;Carlsturm ;;51.65641;10.79706;1;;;;;;;;;;;;;;;;;
52;Trageburg am Hexenstieg ;;51.70275;10.79121;1;;;;;;1;;;;;;;;;;;
53;Hassel-Vorsperre ;;51.70968;10.83113;1;;;;;;;;;;;;;;;;;
54;Rotestein ;;51.72912;10.88091;1;;;;;;;;;;;;;;;;;
55;Wüstung Selkenfelde/Kirche ;;51.65044;10.91886;1;;;;;;;;;;;;;1;;;;
56;Rappbodeblick Trautenstein ;;51.71153;10.80097;1;;;;;;;;;;;;;;;;;
57;Echowiese Allrode ;;51.69020;10.98933;1;;;;;;;;;;;;;;;;;
58;Pferdchen ;;51.63841;10.63053;1;;;;;;;;;;;;;;;;;
59;Klostergrund Michaelstein ;;51.80498;10.90977;1;;;;;;;;;;;;;;;;;
60;Stemberghaus-Köhlerei ;;51.72195;10.89618;1;;;;;;1;1;;;;;;;;;;
61;Harzer Grauwacke Rieder ;;51.71355;11.17952;1;;;;;;;1;;;;;;;;;;
62;Talsperre Wendefurth (Talsperrenblick) ;;51.74322;10.91930;1;;;1;;;1;;;;;;;;;;;
63;Schöneburg (Aussichtspunkt) ;;51.72978;10.92309;1;;;;;;1;;;;;;;;;;;
64;Böser Kleef (Aussichtspunkt) ;;51.73003;10.94957;1;;;;;;;;;;;;;;;;;
65;Gasthaus Todtenrode ;;51.73703;10.95567;1;;;;;;;;;;;;;;;;;
66;Wilhelmsblick (Aussichtspunkt) ;;51.72310;10.96613;1;;;;;;;;;;;;;;;;;
67;Weißer Hirsch (Aussichtspunkt) ;;51.71692;10.97805;1;;;;;;;;;;;;;;;;;
68;„Pfeil“-Denkmal ;;51.71732;11.00223;1;;;;;;;;;;;;;;;;;
69;Sonnenklippe (Bodetal) ;;51.72200;10.97013;1;;;1;;;1;;;;;;;;;;;
70;Prinzensicht (Aussichtspunkt) ;;51.73372;11.00740;1;;;;;;;;;;;;;;;;;
71;Rosstrappe (Abzweig Schurre) ;;51.73724;11.01865;1;;;1;;;;;;;;;;;;;;
72;La Viershöhe ;;51.73058;11.01683;1;;;;;;;;;;;;;;;;;
73;Glockenstein ;;51.72912;11.05713;1;;;;;;;;;;;;;;;;;
74;Hamburger Wappen (Teufelsmauer) ;;51.77690;11.00113;1;;;;;;;;;;;;;;;;;
75;Hahnenkleeklippen ;;51.73739;10.56589;1;;;;;;;;;;;1;;;;;;
76;Großvaterfelsen ;;51.78598;10.96717;1;;;;;;;;;;;;;;;;;
77;Ruine Luisenburg ;;51.78275;10.95420;1;;;;;;;;;;;;;;;;;
78;Barocke Gärten ;;51.78747;10.95635;1;;;1;;;;;;;;;;;;;;
79;Otto-Ebert-Brücke (am Herzogsweg) ;;51.78495;10.92302;1;;;;;;;;;;;;;;;;;
80;Burgruine Regenstein ;;51.81386;10.95836;1;;1;1;;;;;;;;;;;;;;
81;Sandhöhlen im Heers ;;51.81721;10.96584;1;;;;;;;;;;;;;;;;;
82;Regenstein-Mühle ;;51.81653;10.94883;1;;;;;;;;;;;;;;;;;
83;Austbergturm ;;51.83771;10.85929;1;;;;;;;;;;;;;;;;;
84;Altenburg (bei Heimburg) ;;51.82693;10.91130;1;;1;;;;;;;;;;;;;;;
85;Wasserkunst Thumkuhlental ;;51.80824;10.72697;1;;;1;;;;1;;;;;;;;;;
86;Bisongehege ;;51.66192;11.34171;1;;;;;;;;;;;;;;;;;
87;Volkmarskeller ;;51.78734;10.87332;1;;;;;;;;;;;;;;;;;
88;Aussichtspavillon Hoher Kleef ;;51.75370;10.84622;1;;;1;;;;;;;;;;;;;;
89;Schornsteinberg ;;51.75973;10.85047;1;;;;;;;;;;;;;;;;;
90;Roter Schuss ;;51.61714;10.65168;1;;;;;1;;;;;;;;;;;;
91;Weltkulturerbe Rammelsberg ;;51.89008;10.41905;1;;;1;1;;;1;;;;;;;;;;
92;Poppenberg mit Aussichtsturm ;;51.58811;10.82696;1;;;;;;;;;;;;;;;;;
93;Dreitälerblick ;;51.60127;10.79257;1;;;;;;;;;;;;;;;;;
94;Dreiherrenstein (am Brandhai am 48A) ;;51.60638;10.89193;1;;;;;;;;;;;;;;;;;
95;Ilfelder Wetterfahne ;;51.58742;10.79158;1;;;1;;;;;;;;;;;;;;
96;Ehemalige Steinmühle ;;51.60770;10.72845;1;;;;;;;;;;;;;;;;;
97;Ziegenalm Sophienhof ;;51.63259;10.79096;1;;;;;;;;;;;;;;;;;
98;Ruine Hohnstein ;;51.56980;10.83748;1;;;;;;;;;;;;;;;;;
99; Harzer Holzdampflok ;;51.55665;10.82549;1;;;1;;;;;1;;;;;;;;;
100;Ebersburg ;;51.55382;10.87972;1;;;;;;;;;;;;;;;;;
101;Einhornhöhle ;;51.63502;10.40440;1;1;;1;;;;;1;;;;;;;;;
102;Lageswarte ;;51.91484;10.25144;1;;;;;;;;;;;;;;;;;
103;Luchsstein ;;51.88032;10.25558;1;;;;;;;;;;;;;;;;;
104;Tränkebachhütte ;;51.88490;10.23857;1;;;;;;;;;;;;;;1;;;
105;Prinzenlaube ;;51.82580;10.28858;1;;;1;;;;;;;;;;;;;;
106;Schöne Aussicht Bielstein ;;51.87683;10.29205;1;;;;;;;;;;;;;;;;;
107;Maaßener Gaipel ;;51.86360;10.29024;1;;;;;;;1;;;;;;;;;;
108;Sudmerberger Warte ;;51.91484;10.46775;1;;;;1;;;;;;;;;;;;;
109;Heimberg ;;51.91280;10.33016;1;;;;;;;;;;;;;;;;;
110;Granestausee ;;51.90058;10.38222;1;;;;;;;;;;;;;;;;;
111;Steinbergturm/Steinbergalm ;;51.90652;10.40525;1;;;;1;;;;;;;;;;;;;
112;Liebesbank ;;51.86065;10.35732;1;;;;1;;;;;;;;;;;;;
113;Grumbacher Teich ;;51.84918;10.29940;1;;;;1;;;1;;;;;;;;;;
114;Ramseck ;;51.88848;10.42668;1;;;;1;;;;;;;;;;;;;
115;Bismarckturm ;;51.64080;10.47221;1;1;;;;;;;;;;;;;;;;
116;Verlobungsinsel in der Oker ;;51.86725;10.47408;1;;;1;1;;;;;;;;;;;;;
117;Treppenstein ;;51.87183;10.48139;1;;;1;1;;;;;;;;;;;;;
118;Kästehaus ;;51.86812;10.48468;1;;;;1;;;;;;;;;;;;;
119;Hallesche Hütte (an den Ahrendsberger Klippen) ;;51.85412;10.46787;1;;;;;;;;;;;;;;;;;
120;Elfenstein ;;51.87910;10.52723;1;;;;;;;;;;;;;;;;;
121;„Aussichtsreich“ Burgberg ;;51.87167;10.56647;1;;;;;;;;;;;1;;;;;;
122;Kreuz des deutschen Ostens ;;51.87532;10.59258;1;;;;;;;;;;;1;;;;;;
123;Gaststätte Rinderstall ;;51.71627;10.56240;1;;;;;;1;;;;;1;;;;;;
124;Köte am Heidenstieg ;;51.84091;10.42347;1;;;;;;;;;;;;;;;;;
125;Schalker Turm ;;51.84882;10.38229;1;;;;;;;;;;;;;;;;;
126;Lochstein. Oberer Schalker Graben ;;51.83702;10.37981;1;;;;;;;1;;;;;;;;;;
127;Weppner Hütte. Jägersbleeker Teich ;;51.79791;10.38888;1;;;;;;;1;;;;;;;;;;
128;Huttaler Widerwaage ;;51.78573;10.37743;1;;;;;;1;1;;;;;;;;;;
129;Hütte im WeltWald Harz ;;51.81926;10.22503;1;;;1;;;;;1;;;;;;;;;
130;Iberger Albertturm ;;51.81987;10.24520;1;1;;;;;;;1;;;;;;;;;
131;Kaysereiche (Schutzhütte) ;;51.79208;10.27573;1;;;;;;;;;;;;;;;;;
132;Schwarzenberg. Köte Brockenblick ;;51.80594;10.44558;1;;;1;;;;;;;;;;;;;;
133;Förster-Ludewig-Platz ;;51.80347;10.48783;1;;;;;;1;1;;;;;;;;;;
134;Gustav-Baumann-Weg (NPH) ;;51.78544;10.46754;1;;;;;;;;;;;1;;;;;;
135;Wolfswarte ;;51.79024;10.50364;1;;;;;;;;;;;1;;;;;;
136;Eckersprung ;;51.78772;10.58642;1;;;1;;1;1;;;;;1;;;;;;
137;Bärenbrucher Teich ;;51.77606;10.35100;1;;;;;;1;1;;;;;;;;;;
138;Braunseck ;;51.76677;10.35523;1;;;;;;;;;;;;;;;;;
139;Kuckholzklippe ;;51.76632;10.31383;1;;;;;;;;;;;;;;;;;
140;Eselsplatz ;;51.74620;10.30148;1;;;1;;;1;;;;;;;;;;;
141;Oberer Hahnebalzer Teich ;;51.78476;10.28608;1;;;;;;;;;;;;;;;;;
142;Mandolinenhütte ;;51.89504;10.27904;1;;;;;;;;;;;;;;1;;;
143;Köte Schindelkopf ;;51.72322;10.33626;1;;;;;;;;;;;;;;;;;
144;Hanskühnenburg ;;51.72814;10.40336;1;1;;1;;;;;;;;1;;;;;;
145;Schmidts-Denkmal ;;51.77710;10.38783;1;;;;;;;;;;;;;;;;;
